"module name","licenses","repository","licenseUrl","parents"
"@babel/plugin-transform-member-expression-literals@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-member-expression-literals","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-member-expression-literals/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-modules-amd@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-amd","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-amd/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-modules-commonjs@7.7.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-commonjs","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-commonjs/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-modules-systemjs@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-systemjs","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-systemjs/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-modules-umd@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-umd","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-modules-umd/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-named-capturing-groups-regex@7.8.3","MIT","https://github.com/babel/babel","https://github.com/babel/babel/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-new-target@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-new-target","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-new-target/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-object-super@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-super","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-super/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-parameters@7.8.8","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-parameters","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-parameters/raw/master/LICENSE","kiskba"
"@babel/plugin-transform-property-literals@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-property-literals","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-property-literals/raw/master/LICENSE","kiskba"
